作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
002314,イズムの功過,イズムのこうか,いすむのこうか,,,,,NDC 914,新字新仮名,なし,8/4/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2314.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石文明論集,岩波文庫、岩波書店,1986（昭和61）年10月16日,1998（平成10）年7月24日第26刷,1999（平成11）年4月26日第27刷,,,,,,,,,,,,柴田卓治,福地博文,https://www.aozora.gr.jp/cards/000148/files/2314_ruby_2291.zip,10/28/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/2314_13564.html,10/28/2003,ShiftJIS,JIS X 0208,0
001086,一夜,いちや,いちや,,,,,NDC 913,新字新仮名,なし,9/11/2000,9/17/2014,https://www.aozora.gr.jp/cards/000148/card1086.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集2,ちくま文庫、筑摩書房,1987（昭和62）年10月27日,1987（昭和62）年10月27日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,LUNA CAT,https://www.aozora.gr.jp/cards/000148/files/1086_ruby_5742.zip,12/5/2011,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000148/files/1086_14935.html,12/5/2011,ShiftJIS,JIS X 0208,1
000758,永日小品,えいじつしょうひん,えいしつしようひん,,,,1909（明治42）年1～3月,NDC 914,新字新仮名,なし,6/14/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card758.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/758_ruby_6056.zip,1/13/2011,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000148/files/758_14936.html,1/13/2011,ShiftJIS,JIS X 0208,1
002669,岡本一平著並画『探訪画趣』序,おかもといっぺいちょならびにが『たんぼうがしゅ』じょ,おかもといつへいちよならひにかたんほうかしゆしよ,,,,,NDC 914,新字新仮名,なし,5/27/2002,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2669.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,筑摩全集類聚版　夏目漱石全集　10,筑摩書房,1972（昭和47）年1月10日,1972（昭和47）年1月10日第1刷,,,,,,,,,,,,,Nana ohbe,米田進,https://www.aozora.gr.jp/cards/000148/files/2669_ruby_6341.zip,5/11/2003,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/2669_6501.html,5/11/2003,ShiftJIS,JIS X 0208,1
059017,おはなし,おはなし,おはなし,,,,「浅草文庫　第三十一号」東京高等工業学校「文芸部」、1914（大正3）年5月10日,NDC 914,新字新仮名,なし,2/9/2020,1/24/2020,https://www.aozora.gr.jp/cards/000148/card59017.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,21世紀の日本人へ　夏目漱石,晶文社　　,1998（平成10）年12月25日,1998（平成10）年12月25日初版,1998（平成10）年12月25日初版,漱石全集　第二十五巻,岩波書店,1996（平成8）年5月15日,,,,,,,,,西村おきな,きりんの手紙,https://www.aozora.gr.jp/cards/000148/files/59017_ruby_70128.zip,1/24/2020,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/59017_70177.html,1/24/2020,ShiftJIS,JIS X 0208,0
000792,思い出す事など,おもいだすことなど,おもいたすことなと,,,,「朝日新聞」1910（明治43）年10月～1911（明治44）年4月,NDC 914,新字新仮名,なし,6/26/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card792.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集7,ちくま文庫、筑摩書房,1988（昭和63）年4月26日,1988（昭和63）年4月26日第1刷,1996（平成8）年3月1日第3刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,伊藤時也,https://www.aozora.gr.jp/cards/000148/files/792_ruby_2117.zip,1/13/2011,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000148/files/792_14937.html,1/13/2011,ShiftJIS,JIS X 0208,1
001046,カーライル博物館,カーライルはくぶつかん,かあらいるはくふつかん,,,,,NDC 914,新字新仮名,なし,8/31/2000,9/17/2014,https://www.aozora.gr.jp/cards/000148/card1046.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集2,ちくま文庫、筑摩書房,1987（昭和62）年10月27日,1987（昭和62）年10月27日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,LUNA CAT,https://www.aozora.gr.jp/cards/000148/files/1046_ruby_4521.zip,2/26/2004,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/1046_14938.html,2/26/2004,ShiftJIS,JIS X 0208,0
000769,薤露行,かいろこう,かいろこう,,,,,NDC 913,新字新仮名,なし,9/20/1998,9/17/2014,https://www.aozora.gr.jp/cards/000148/card769.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,倫敦塔・幻影の盾　他五篇,岩波文庫、岩波書店,1930（昭和5）年12月20日、1990（平成2）年4月16日第23刷改版,1997（平成9）年1月16日第29刷,,,,,,,,,,,,,鈴木厚司,藤本篤子,https://www.aozora.gr.jp/cards/000148/files/769_ruby_565.zip,2/26/2004,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000148/files/769_14939.html,2/26/2004,ShiftJIS,JIS X 0208,0
002383,学者と名誉,がくしゃとめいよ,かくしやとめいよ,,,,,NDC 914,新字新仮名,なし,8/13/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2383.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石文明論集,岩波文庫、岩波書店,1986（昭和61）年10月16日,1998（平成10）年7月24日第26刷,1999（平成11）年4月26日第27刷,漱石全集　第8、11～16巻,岩波書店,1985（昭和60）～1986（昭和61）年,,,,,,,,,柴田卓治,しず,https://www.aozora.gr.jp/cards/000148/files/2383_ruby_2323.zip,10/28/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/2383_13558.html,10/28/2003,ShiftJIS,JIS X 0208,0
000760,硝子戸の中,がらすどのうち,からすとのうち,,,,「朝日新聞」1915（大正4）年1月13日～2月23日,NDC 914,新字新仮名,なし,8/22/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card760.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/760_ruby_2341.zip,9/9/2012,ShiftJIS,JIS X 0208,6,https://www.aozora.gr.jp/cards/000148/files/760_14940.html,9/9/2012,ShiftJIS,JIS X 0208,1
